Destination,Start date,Duration (days),Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Transportation type,Transportation cost,source
Recife (PE),2021-06-27,3.0,39.0,Male,,Hotel BW,181.17,First Class Flight,2255.0699999999997,dataset_2
Aracaju (SE),2021-08-01,3.0,39.0,Male,,Hotel BD,728.64,First Class Flight,1161.3600000000001,dataset_2
Aracaju (SE),2021-10-01,1.0,39.0,Male,,Hotel BD,242.88,First Class Flight,1175.27,dataset_2
Aracaju (SE),2021-10-22,1.0,39.0,Male,,Hotel AU,312.83,premium,1807.63,dataset_2
Recife (PE),2021-11-14,3.0,39.0,Male,,Hotel Z,624.12,First Class Flight,2300.66,dataset_2
Recife (PE),2021-12-24,1.0,39.0,Male,,Hotel BW,60.39,premium,1823.99,dataset_2
Salvador (BH),2022-01-27,1.0,39.0,Male,,Hotel K,263.41,premium,2259.1800000000003,dataset_2
Recife (PE),2022-01-28,1.0,39.0,Male,,Hotel K,263.41,premium,2259.1800000000003,dataset_2
Brasilia (DF),2022-03-07,4.0,39.0,Male,,Hotel BW,241.56,First Class Flight,2046.57,dataset_2
Brasilia (DF),2022-03-13,3.0,39.0,Male,,Hotel Z,624.12,Economy Flight,1127.6,dataset_2
Recife (PE),2022-03-19,2.0,39.0,Male,,Hotel A,626.04,premium,1993.4099999999999,dataset_2
Recife (PE),2022-06-25,2.0,39.0,Male,,Hotel BD,485.76,premium,1068.35,dataset_2
Natal (RN),2022-06-30,3.0,39.0,Male,,Hotel BD,728.64,First Class Flight,1413.94,dataset_2
Recife (PE),2022-07-03,3.0,39.0,Male,,Hotel BD,728.64,First Class Flight,1413.94,dataset_2
Brasilia (DF),2022-08-06,2.0,39.0,Male,,Hotel BD,485.76,First Class Flight,2614.29,dataset_2
Brasilia (DF),2022-09-02,1.0,39.0,Male,,Hotel CB,165.99,First Class Flight,1130.58,dataset_2
Rio de Janeiro (RJ),2022-10-20,1.0,39.0,Male,,Hotel CB,165.99,Economy Flight,1513.46,dataset_2
Aracaju (SE),2022-10-21,1.0,39.0,Male,,Hotel CB,165.99,Economy Flight,1513.46,dataset_2
Rio de Janeiro (RJ),2022-10-27,1.0,39.0,Male,,Hotel CB,165.99,premium,876.36,dataset_2
Brasilia (DF),2022-10-28,1.0,39.0,Male,,Hotel CB,165.99,premium,876.36,dataset_2
Campo Grande (MS),2022-12-29,1.0,39.0,Male,,Hotel BW,60.39,First Class Flight,2933.67,dataset_2
Aracaju (SE),2022-12-30,1.0,39.0,Male,,Hotel BW,60.39,First Class Flight,2933.67,dataset_2
Recife (PE),2023-01-28,2.0,39.0,Male,,Hotel A,626.04,Economy Flight,1498.69,dataset_2
Campo Grande (MS),2023-02-09,4.0,39.0,Male,,Hotel BW,241.56,First Class Flight,2301.1800000000003,dataset_2
Recife (PE),2023-02-13,4.0,39.0,Male,,Hotel BW,241.56,First Class Flight,2301.1800000000003,dataset_2
Rio de Janeiro (RJ),2023-02-16,4.0,39.0,Male,,Hotel CB,663.96,First Class Flight,3228.95,dataset_2
Recife (PE),2023-02-20,4.0,39.0,Male,,Hotel CB,663.96,First Class Flight,3228.95,dataset_2
Campo Grande (MS),2023-02-23,1.0,39.0,Male,,Hotel BW,60.39,First Class Flight,2971.17,dataset_2
Aracaju (SE),2023-02-24,1.0,39.0,Male,,Hotel BW,60.39,First Class Flight,2971.17,dataset_2
Brasilia (DF),2023-03-23,3.0,39.0,Male,,Hotel BP,742.86,premium,1197.76,dataset_2
Recife (PE),2023-03-26,3.0,39.0,Male,,Hotel BP,742.86,premium,1197.76,dataset_2
Campo Grande (MS),2023-03-30,4.0,39.0,Male,,Hotel BW,241.56,premium,2236.98,dataset_2
Aracaju (SE),2023-04-03,4.0,39.0,Male,,Hotel BW,241.56,premium,2236.98,dataset_2
Aracaju (SE),2023-05-25,3.0,39.0,Male,,Hotel Z,624.12,Economy Flight,1127.6,dataset_2
Brasilia (DF),2023-05-28,3.0,39.0,Male,,Hotel Z,624.12,Economy Flight,1127.6,dataset_2
Recife (PE),2023-06-08,1.0,39.0,Male,,Hotel AU,312.83,premium,1768.0500000000002,dataset_2
Aracaju (SE),2023-06-09,1.0,39.0,Male,,Hotel AU,312.83,premium,1768.0500000000002,dataset_2
Recife (PE),2023-06-19,4.0,39.0,Male,,Hotel CB,663.96,First Class Flight,3276.4,dataset_2
Brasilia (DF),2023-06-29,2.0,39.0,Male,,Hotel BP,495.24,Economy Flight,860.5799999999999,dataset_2
Recife (PE),2023-07-01,2.0,39.0,Male,,Hotel BP,495.24,Economy Flight,860.5799999999999,dataset_2
Recife (PE),2023-07-06,2.0,39.0,Male,,Hotel AU,625.66,First Class Flight,2389.68,dataset_2
Aracaju (SE),2023-07-08,2.0,39.0,Male,,Hotel AU,625.66,First Class Flight,2389.68,dataset_2
Aracaju (SE),2019-10-20,3.0,59.0,Female,,Hotel AU,938.49,First Class Flight,2290.21,dataset_2
Brasilia (DF),2019-11-25,4.0,59.0,Female,,Hotel CB,663.96,premium,876.36,dataset_2
Brasilia (DF),2020-02-08,2.0,59.0,Female,,Hotel K,526.82,First Class Flight,2717.63,dataset_2
Aracaju (SE),2020-02-28,1.0,59.0,Female,,Hotel A,313.02,First Class Flight,2983.8199999999997,dataset_2
Recife (PE),2020-04-04,2.0,59.0,Female,,Hotel K,526.82,First Class Flight,2944.6499999999996,dataset_2
Aracaju (SE),2020-05-21,1.0,59.0,Female,,Hotel Z,208.04,First Class Flight,2174.1099999999997,dataset_2
Brasilia (DF),2020-05-22,1.0,59.0,Female,,Hotel Z,208.04,First Class Flight,2174.1099999999997,dataset_2
Brasilia (DF),2020-06-07,3.0,59.0,Female,,Hotel BW,181.17,First Class Flight,2046.57,dataset_2
Aracaju (SE),2020-06-18,3.0,59.0,Female,,Hotel Z,624.12,Economy Flight,1269.8200000000002,dataset_2
Brasilia (DF),2020-06-21,3.0,59.0,Female,,Hotel Z,624.12,Economy Flight,1269.8200000000002,dataset_2
Recife (PE),2020-08-07,1.0,59.0,Female,,Hotel AF,139.1,premium,1815.85,dataset_2
Campo Grande (MS),2020-08-13,2.0,59.0,Female,,Hotel BW,120.78,First Class Flight,2849.5,dataset_2
Aracaju (SE),2020-08-15,2.0,59.0,Female,,Hotel BW,120.78,First Class Flight,2849.5,dataset_2
Aracaju (SE),2020-08-21,1.0,59.0,Female,,Hotel BD,242.88,premium,906.62,dataset_2
Campo Grande (MS),2020-08-27,4.0,59.0,Female,,Hotel BW,241.56,First Class Flight,2255.0699999999997,dataset_2
Recife (PE),2020-08-31,4.0,59.0,Female,,Hotel BW,241.56,First Class Flight,2255.0699999999997,dataset_2
Aracaju (SE),2020-09-20,3.0,59.0,Female,,Hotel A,939.06,premium,2324.5,dataset_2
Aracaju (SE),2020-10-08,4.0,59.0,Female,,Hotel Z,832.16,premium,1807.63,dataset_2
Recife (PE),2020-10-12,4.0,59.0,Female,,Hotel Z,832.16,premium,1807.63,dataset_2
Campo Grande (MS),2020-11-19,4.0,59.0,Female,,Hotel BW,241.56,premium,1543.1399999999999,dataset_2
Brasilia (DF),2020-11-23,4.0,59.0,Female,,Hotel BW,241.56,premium,1543.1399999999999,dataset_2
Recife (PE),2020-12-07,4.0,59.0,Female,,Hotel A,1252.08,First Class Flight,2655.13,dataset_2
Brasilia (DF),2021-01-14,2.0,59.0,Female,,Hotel BP,495.24,Economy Flight,825.78,dataset_2
Recife (PE),2021-01-16,2.0,59.0,Female,,Hotel BP,495.24,Economy Flight,825.78,dataset_2
Florianopolis (SC),2021-02-25,1.0,59.0,Female,,Hotel A,313.02,First Class Flight,2666.82,dataset_2
Brasilia (DF),2021-02-26,1.0,59.0,Female,,Hotel A,313.02,First Class Flight,2666.82,dataset_2
Brasilia (DF),2019-12-30,4.0,23.0,Male,,Hotel CB,663.96,Economy Flight,735.38,dataset_2
Recife (PE),2020-03-02,4.0,23.0,Male,,Hotel BW,241.56,Economy Flight,1223.1399999999999,dataset_2
Brasilia (DF),2020-03-15,3.0,23.0,Male,,Hotel Z,624.12,First Class Flight,2174.1099999999997,dataset_2
Sao Paulo (SP),2020-08-13,3.0,23.0,Male,,Hotel AF,417.3,First Class Flight,1816.48,dataset_2
Brasilia (DF),2020-08-16,3.0,23.0,Male,,Hotel AF,417.3,First Class Flight,1816.48,dataset_2
Aracaju (SE),2020-10-08,2.0,23.0,Male,,Hotel Z,416.08,First Class Flight,2174.1099999999997,dataset_2
Brasilia (DF),2020-10-10,2.0,23.0,Male,,Hotel Z,416.08,First Class Flight,2174.1099999999997,dataset_2
Recife (PE),2021-01-09,2.0,23.0,Male,,Hotel BP,495.24,First Class Flight,1513.49,dataset_2
Recife (PE),2021-02-18,1.0,23.0,Male,,Hotel AU,312.83,First Class Flight,1494.1399999999999,dataset_2
Brasilia (DF),2021-02-19,1.0,23.0,Male,,Hotel AU,312.83,First Class Flight,1494.1399999999999,dataset_2
Rio de Janeiro (RJ),2021-05-13,2.0,23.0,Male,,Hotel CB,331.98,First Class Flight,1130.58,dataset_2
Brasilia (DF),2021-05-15,2.0,23.0,Male,,Hotel CB,331.98,First Class Flight,1130.58,dataset_2
Aracaju (SE),2021-07-18,3.0,23.0,Male,,Hotel A,939.06,First Class Flight,3164.51,dataset_2
Florianopolis (SC),2021-08-12,4.0,23.0,Male,,Hotel A,1252.08,First Class Flight,3074.21,dataset_2
Aracaju (SE),2021-08-16,4.0,23.0,Male,,Hotel A,1252.08,First Class Flight,3074.21,dataset_2
Rio de Janeiro (RJ),2019-09-26,2.0,49.0,None,,Hotel CB,331.98,Economy Flight,735.38,dataset_2
Brasilia (DF),2019-09-28,2.0,49.0,None,,Hotel CB,331.98,Economy Flight,735.38,dataset_2
Salvador (BH),2019-10-03,1.0,49.0,None,,Hotel K,263.41,Economy Flight,1530.91,dataset_2
Brasilia (DF),2019-10-04,1.0,49.0,None,,Hotel K,263.41,Economy Flight,1530.91,dataset_2
Recife (PE),2019-10-20,3.0,49.0,None,,Hotel AF,417.3,First Class Flight,2419.67,dataset_2
Rio de Janeiro (RJ),2019-10-24,3.0,49.0,None,,Hotel CB,497.97,First Class Flight,2572.49,dataset_2
Aracaju (SE),2019-10-27,3.0,49.0,None,,Hotel CB,497.97,First Class Flight,2572.49,dataset_2
Brasilia (DF),2019-12-27,1.0,49.0,None,,Hotel CB,165.99,premium,876.36,dataset_2
Recife (PE),2020-01-19,3.0,49.0,None,,Hotel AF,417.3,premium,1815.85,dataset_2
Aracaju (SE),2020-02-17,4.0,49.0,None,,Hotel BD,971.52,Economy Flight,693.78,dataset_2
Rio de Janeiro (RJ),2020-03-05,4.0,49.0,None,,Hotel CB,663.96,Economy Flight,713.8299999999999,dataset_2
Brasilia (DF),2020-03-09,4.0,49.0,None,,Hotel CB,663.96,Economy Flight,713.8299999999999,dataset_2
Salvador (BH),2020-03-19,4.0,49.0,None,,Hotel K,1053.64,premium,2183.49,dataset_2
Brasilia (DF),2020-03-23,4.0,49.0,None,,Hotel K,1053.64,premium,2183.49,dataset_2
Florianopolis (SC),2020-03-26,1.0,49.0,None,,Hotel A,313.02,First Class Flight,3164.51,dataset_2
Aracaju (SE),2020-03-27,1.0,49.0,None,,Hotel A,313.02,First Class Flight,3164.51,dataset_2
Aracaju (SE),2020-04-26,3.0,49.0,None,,Hotel BD,728.64,premium,987.3600000000001,dataset_2
Brasilia (DF),2020-06-15,4.0,49.0,None,,Hotel CB,663.96,First Class Flight,1273.29,dataset_2
Recife (PE),2020-06-29,4.0,49.0,None,,Hotel K,1053.64,premium,2259.1800000000003,dataset_2
Natal (RN),2020-08-13,3.0,49.0,None,,Hotel BD,728.64,Economy Flight,766.58,dataset_2
Recife (PE),2020-08-16,3.0,49.0,None,,Hotel BD,728.64,Economy Flight,766.58,dataset_2
Aracaju (SE),2019-10-28,4.0,29.0,None,,Hotel CB,663.96,premium,2098.9300000000003,dataset_2
Salvador (BH),2019-12-05,3.0,29.0,None,,Hotel K,790.23,First Class Flight,2910.66,dataset_2
Recife (PE),2019-12-08,3.0,29.0,None,,Hotel K,790.23,First Class Flight,2910.66,dataset_2
Natal (RN),2020-03-26,3.0,41.0,Male,,Hotel BD,728.64,First Class Flight,1189.3000000000002,dataset_2
Aracaju (SE),2020-03-29,3.0,41.0,Male,,Hotel BD,728.64,First Class Flight,1189.3000000000002,dataset_2
Natal (RN),2019-12-12,3.0,34.0,Male,,Hotel BD,728.64,First Class Flight,1413.94,dataset_2
Recife (PE),2019-12-15,3.0,34.0,Male,,Hotel BD,728.64,First Class Flight,1413.94,dataset_2
Natal (RN),2020-02-20,4.0,34.0,Male,,Hotel BD,971.52,premium,987.3600000000001,dataset_2
Aracaju (SE),2020-02-24,4.0,34.0,Male,,Hotel BD,971.52,premium,987.3600000000001,dataset_2
Aracaju (SE),2020-03-05,4.0,34.0,Male,,Hotel Z,832.16,Economy Flight,1269.8200000000002,dataset_2
Brasilia (DF),2020-03-09,4.0,34.0,Male,,Hotel Z,832.16,Economy Flight,1269.8200000000002,dataset_2
Brasilia (DF),2020-03-29,3.0,34.0,Male,,Hotel Z,624.12,Economy Flight,1269.8200000000002,dataset_2
Recife (PE),2020-04-16,3.0,34.0,Male,,Hotel AU,938.49,Economy Flight,860.5799999999999,dataset_2
Brasilia (DF),2020-04-19,3.0,34.0,Male,,Hotel AU,938.49,Economy Flight,860.5799999999999,dataset_2
Brasilia (DF),2020-04-25,2.0,34.0,Male,,Hotel AU,625.66,premium,1197.76,dataset_2
Brasilia (DF),2019-10-05,2.0,46.0,Male,,Hotel K,526.82,First Class Flight,2717.63,dataset_2
Campo Grande (MS),2019-12-26,1.0,46.0,Male,,Hotel BW,60.39,Economy Flight,1621.1,dataset_2
Aracaju (SE),2019-12-27,1.0,46.0,Male,,Hotel BW,60.39,Economy Flight,1621.1,dataset_2
Brasilia (DF),2020-04-10,1.0,46.0,Male,,Hotel AU,312.83,First Class Flight,1513.49,dataset_2
Rio de Janeiro (RJ),2020-04-16,1.0,46.0,Male,,Hotel CB,165.99,premium,2603.55,dataset_2
Recife (PE),2020-04-17,1.0,46.0,Male,,Hotel CB,165.99,premium,2603.55,dataset_2
Rio de Janeiro (RJ),2020-07-30,3.0,46.0,Male,,Hotel CB,497.97,First Class Flight,2629.9700000000003,dataset_2
Aracaju (SE),2020-08-02,3.0,46.0,Male,,Hotel CB,497.97,First Class Flight,2629.9700000000003,dataset_2
Brasilia (DF),2020-08-13,2.0,46.0,Male,,Hotel BP,495.24,First Class Flight,1494.1399999999999,dataset_2
Recife (PE),2020-08-15,2.0,46.0,Male,,Hotel BP,495.24,First Class Flight,1494.1399999999999,dataset_2
Sao Paulo (SP),2020-09-10,4.0,46.0,Male,,Hotel AF,556.4,First Class Flight,2417.05,dataset_2
Recife (PE),2020-09-14,4.0,46.0,Male,,Hotel AF,556.4,First Class Flight,2417.05,dataset_2
Brasilia (DF),2020-10-29,1.0,46.0,Male,,Hotel BP,247.62,premium,1141.99,dataset_2
Recife (PE),2020-10-30,1.0,46.0,Male,,Hotel BP,247.62,premium,1141.99,dataset_2
Rio de Janeiro (RJ),2020-11-05,3.0,46.0,Male,,Hotel CB,497.97,First Class Flight,2576.3199999999997,dataset_2
Aracaju (SE),2020-11-08,3.0,46.0,Male,,Hotel CB,497.97,First Class Flight,2576.3199999999997,dataset_2
Campo Grande (MS),2020-12-03,4.0,46.0,Male,,Hotel BW,241.56,First Class Flight,1857.54,dataset_2
Brasilia (DF),2020-12-07,4.0,46.0,Male,,Hotel BW,241.56,First Class Flight,1857.54,dataset_2
Natal (RN),2021-01-07,1.0,46.0,Male,,Hotel BD,242.88,First Class Flight,1435.87,dataset_2
Recife (PE),2021-01-08,1.0,46.0,Male,,Hotel BD,242.88,First Class Flight,1435.87,dataset_2
Recife (PE),2021-01-16,2.0,46.0,Male,,Hotel A,626.04,First Class Flight,2547.45,dataset_2
Aracaju (SE),2021-02-01,4.0,46.0,Male,,Hotel K,1053.64,First Class Flight,3215.9700000000003,dataset_2
Rio de Janeiro (RJ),2021-02-18,3.0,46.0,Male,,Hotel CB,497.97,First Class Flight,3409.12,dataset_2
Recife (PE),2021-02-21,3.0,46.0,Male,,Hotel CB,497.97,First Class Flight,3409.12,dataset_2
Aracaju (SE),2021-04-11,3.0,46.0,Male,,Hotel BP,742.86,premium,1742.69,dataset_2
Recife (PE),2021-04-22,2.0,46.0,Male,,Hotel AU,625.66,First Class Flight,1513.49,dataset_2
Brasilia (DF),2021-04-24,2.0,46.0,Male,,Hotel AU,625.66,First Class Flight,1513.49,dataset_2
Campo Grande (MS),2021-04-29,2.0,46.0,Male,,Hotel BW,120.78,Economy Flight,1621.1,dataset_2
Aracaju (SE),2021-05-01,2.0,46.0,Male,,Hotel BW,120.78,Economy Flight,1621.1,dataset_2
Rio de Janeiro (RJ),2021-06-17,1.0,46.0,Male,,Hotel CB,165.99,First Class Flight,3409.12,dataset_2
Recife (PE),2021-06-18,1.0,46.0,Male,,Hotel CB,165.99,First Class Flight,3409.12,dataset_2
Brasilia (DF),2021-08-06,1.0,46.0,Male,,Hotel AF,139.1,premium,1336.06,dataset_2
Aracaju (SE),2021-08-14,2.0,46.0,Male,,Hotel AU,625.66,First Class Flight,2290.21,dataset_2
Recife (PE),2021-08-20,1.0,46.0,Male,,Hotel A,313.02,premium,1993.4099999999999,dataset_2
Aracaju (SE),2021-09-13,4.0,46.0,Male,,Hotel K,1053.64,Economy Flight,1769.38,dataset_2
Recife (PE),2021-09-30,4.0,46.0,Male,,Hotel AU,1251.32,premium,1807.63,dataset_2
Aracaju (SE),2021-10-04,4.0,46.0,Male,,Hotel AU,1251.32,premium,1807.63,dataset_2
Aracaju (SE),2021-10-11,4.0,46.0,Male,,Hotel A,1252.08,premium,2381.51,dataset_2
Sao Paulo (SP),2021-10-21,2.0,46.0,Male,,Hotel AF,278.2,premium,1300.22,dataset_2
Brasilia (DF),2021-10-23,2.0,46.0,Male,,Hotel AF,278.2,premium,1300.22,dataset_2
Salvador (BH),2021-11-04,3.0,46.0,Male,,Hotel K,790.23,First Class Flight,2924.96,dataset_2
Recife (PE),2021-11-07,3.0,46.0,Male,,Hotel K,790.23,First Class Flight,2924.96,dataset_2
Salvador (BH),2021-11-18,4.0,46.0,Male,,Hotel K,1053.64,Economy Flight,1769.38,dataset_2
Aracaju (SE),2021-11-22,4.0,46.0,Male,,Hotel K,1053.64,Economy Flight,1769.38,dataset_2
Aracaju (SE),2021-12-11,2.0,46.0,Male,,Hotel A,626.04,premium,2381.51,dataset_2
Aracaju (SE),2022-01-14,1.0,46.0,Male,,Hotel AF,139.1,First Class Flight,2026.03,dataset_2
Recife (PE),2022-01-20,4.0,46.0,Male,,Hotel AU,1251.32,First Class Flight,1513.49,dataset_2
Brasilia (DF),2022-01-24,4.0,46.0,Male,,Hotel AU,1251.32,First Class Flight,1513.49,dataset_2
Aracaju (SE),2022-04-08,1.0,46.0,Male,,Hotel CB,165.99,Economy Flight,1513.46,dataset_2
Natal (RN),2022-04-21,4.0,46.0,Male,,Hotel BD,971.52,Economy Flight,731.28,dataset_2
Recife (PE),2022-04-25,4.0,46.0,Male,,Hotel BD,971.52,Economy Flight,731.28,dataset_2
Florianopolis (SC),2022-05-12,2.0,46.0,Male,,Hotel A,626.04,First Class Flight,2726.67,dataset_2
Recife (PE),2022-05-14,2.0,46.0,Male,,Hotel A,626.04,First Class Flight,2726.67,dataset_2
Brasilia (DF),2022-07-28,1.0,46.0,Male,,Hotel BP,247.62,premium,1742.69,dataset_2
Aracaju (SE),2022-07-29,1.0,46.0,Male,,Hotel BP,247.62,premium,1742.69,dataset_2
Aracaju (SE),2019-10-20,3.0,30.0,None,,Hotel K,790.23,premium,2497.83,dataset_2
Salvador (BH),2019-10-24,2.0,30.0,None,,Hotel K,526.82,Economy Flight,1609.38,dataset_2
Recife (PE),2019-10-26,2.0,30.0,None,,Hotel K,526.82,Economy Flight,1609.38,dataset_2
Aracaju (SE),2019-12-07,2.0,30.0,None,,Hotel CB,331.98,premium,2098.9300000000003,dataset_2
Natal (RN),2019-12-19,2.0,30.0,None,,Hotel BD,485.76,premium,2027.4099999999999,dataset_2
Brasilia (DF),2019-12-21,2.0,30.0,None,,Hotel BD,485.76,premium,2027.4099999999999,dataset_2
Aracaju (SE),2020-02-28,1.0,30.0,None,,Hotel CB,165.99,Economy Flight,1446.73,dataset_2
Campo Grande (MS),2020-05-07,4.0,30.0,None,,Hotel BW,241.56,First Class Flight,2849.5,dataset_2
Aracaju (SE),2020-05-11,4.0,30.0,None,,Hotel BW,241.56,First Class Flight,2849.5,dataset_2
Brasilia (DF),2020-05-18,4.0,30.0,None,,Hotel CB,663.96,First Class Flight,1130.58,dataset_2
Brasilia (DF),2020-06-08,4.0,30.0,None,,Hotel CB,663.96,premium,961.21,dataset_2
Brasilia (DF),2020-08-28,1.0,30.0,None,,Hotel BD,242.88,premium,1965.76,dataset_2
Brasilia (DF),2020-10-03,2.0,30.0,None,,Hotel A,626.04,First Class Flight,2614.88,dataset_2
Florianopolis (SC),2021-03-04,4.0,30.0,None,,Hotel A,1252.08,Economy Flight,1498.69,dataset_2
Recife (PE),2021-03-08,4.0,30.0,None,,Hotel A,1252.08,Economy Flight,1498.69,dataset_2
Salvador (BH),2021-04-01,1.0,30.0,None,,Hotel K,263.41,First Class Flight,3296.34,dataset_2
Aracaju (SE),2021-04-02,1.0,30.0,None,,Hotel K,263.41,First Class Flight,3296.34,dataset_2
Recife (PE),2021-05-03,4.0,30.0,None,,Hotel A,1252.08,First Class Flight,2726.67,dataset_2
Campo Grande (MS),2021-06-17,2.0,30.0,None,,Hotel BW,120.78,premium,2236.98,dataset_2
Aracaju (SE),2021-06-19,2.0,30.0,None,,Hotel BW,120.78,premium,2236.98,dataset_2
Recife (PE),2021-06-24,4.0,30.0,None,,Hotel AU,1251.32,First Class Flight,2290.21,dataset_2
Aracaju (SE),2021-06-28,4.0,30.0,None,,Hotel AU,1251.32,First Class Flight,2290.21,dataset_2
Brasilia (DF),2021-08-27,1.0,30.0,None,,Hotel BD,242.88,First Class Flight,2614.29,dataset_2
Aracaju (SE),2021-12-04,2.0,30.0,None,,Hotel BP,495.24,First Class Flight,2217.7799999999997,dataset_2
Aracaju (SE),2022-01-27,1.0,30.0,None,,Hotel Z,208.04,First Class Flight,2300.66,dataset_2
Recife (PE),2022-01-28,1.0,30.0,None,,Hotel Z,208.04,First Class Flight,2300.66,dataset_2
Recife (PE),2022-02-10,3.0,30.0,None,,Hotel AU,938.49,premium,1807.63,dataset_2
Aracaju (SE),2022-02-13,3.0,30.0,None,,Hotel AU,938.49,premium,1807.63,dataset_2
Natal (RN),2022-03-17,1.0,30.0,None,,Hotel BD,242.88,First Class Flight,2721.54,dataset_2
Brasilia (DF),2022-03-18,1.0,30.0,None,,Hotel BD,242.88,First Class Flight,2721.54,dataset_2
Florianopolis (SC),2022-03-24,4.0,30.0,None,,Hotel A,1252.08,premium,1993.4099999999999,dataset_2
Recife (PE),2022-03-28,4.0,30.0,None,,Hotel A,1252.08,premium,1993.4099999999999,dataset_2
Aracaju (SE),2022-04-11,4.0,30.0,None,,Hotel AU,1251.32,First Class Flight,2389.68,dataset_2
Brasilia (DF),2019-11-09,2.0,24.0,None,,Hotel BW,120.78,premium,1493.02,dataset_2
Recife (PE),2019-11-14,2.0,24.0,None,,Hotel AU,625.66,Economy Flight,1289.02,dataset_2
Aracaju (SE),2019-11-16,2.0,24.0,None,,Hotel AU,625.66,Economy Flight,1289.02,dataset_2
Aracaju (SE),2019-12-09,4.0,24.0,None,,Hotel BD,971.52,premium,987.3600000000001,dataset_2
Salvador (BH),2020-01-16,1.0,24.0,None,,Hotel K,263.41,First Class Flight,2910.66,dataset_2
Recife (PE),2020-01-17,1.0,24.0,None,,Hotel K,263.41,First Class Flight,2910.66,dataset_2
Aracaju (SE),2020-05-04,4.0,24.0,None,,Hotel BW,241.56,Economy Flight,1637.82,dataset_2
Recife (PE),2020-06-25,2.0,24.0,None,,Hotel AU,625.66,premium,1141.99,dataset_2
Brasilia (DF),2020-06-27,2.0,24.0,None,,Hotel AU,625.66,premium,1141.99,dataset_2
Aracaju (SE),2020-07-05,3.0,24.0,None,,Hotel BD,728.64,Economy Flight,681.9300000000001,dataset_2
Brasilia (DF),2020-07-11,2.0,24.0,None,,Hotel AF,278.2,premium,1336.06,dataset_2
Rio de Janeiro (RJ),2020-03-12,2.0,33.0,Female,,Hotel CB,331.98,premium,961.21,dataset_2
Brasilia (DF),2020-03-14,2.0,33.0,Female,,Hotel CB,331.98,premium,961.21,dataset_2
Natal (RN),2020-05-07,2.0,33.0,Female,,Hotel BD,485.76,Economy Flight,681.9300000000001,dataset_2
Aracaju (SE),2020-05-09,2.0,33.0,Female,,Hotel BD,485.76,Economy Flight,681.9300000000001,dataset_2
Florianopolis (SC),2020-05-21,3.0,33.0,Female,,Hotel A,939.06,Economy Flight,1521.45,dataset_2
Brasilia (DF),2020-05-24,3.0,33.0,Female,,Hotel A,939.06,Economy Flight,1521.45,dataset_2
Recife (PE),2020-07-20,4.0,33.0,Female,,Hotel CB,663.96,Economy Flight,1841.52,dataset_2
Brasilia (DF),2020-08-01,2.0,33.0,Female,,Hotel K,526.82,premium,2183.49,dataset_2
Recife (PE),2020-09-04,1.0,33.0,Female,,Hotel AF,139.1,First Class Flight,2419.67,dataset_2
Recife (PE),2020-11-16,4.0,33.0,Female,,Hotel AF,556.4,Economy Flight,1373.0700000000002,dataset_2
Salvador (BH),2021-01-21,4.0,33.0,Female,,Hotel K,1053.64,premium,2353.06,dataset_2
Recife (PE),2021-01-25,4.0,33.0,Female,,Hotel K,1053.64,premium,2353.06,dataset_2
Sao Paulo (SP),2021-02-11,2.0,33.0,Female,,Hotel AF,278.2,First Class Flight,2554.33,dataset_2
Recife (PE),2021-02-13,2.0,33.0,Female,,Hotel AF,278.2,First Class Flight,2554.33,dataset_2
Recife (PE),2021-02-22,4.0,33.0,Female,,Hotel Z,832.16,premium,1768.0500000000002,dataset_2
Brasilia (DF),2021-03-05,1.0,33.0,Female,,Hotel AF,139.1,premium,1336.06,dataset_2
Aracaju (SE),2021-03-27,2.0,33.0,Female,,Hotel CB,331.98,First Class Flight,2576.3199999999997,dataset_2
Aracaju (SE),2021-05-24,4.0,33.0,Female,,Hotel AU,1251.32,First Class Flight,2290.21,dataset_2
Recife (PE),2021-05-28,1.0,33.0,Female,,Hotel K,263.41,First Class Flight,2924.96,dataset_2
Aracaju (SE),2021-09-05,3.0,33.0,Female,,Hotel AF,417.3,Economy Flight,1094.63,dataset_2
Campo Grande (MS),2021-09-23,2.0,33.0,Female,,Hotel BW,120.78,First Class Flight,2046.57,dataset_2
Brasilia (DF),2021-09-25,2.0,33.0,Female,,Hotel BW,120.78,First Class Flight,2046.57,dataset_2
Brasilia (DF),2021-10-02,2.0,33.0,Female,,Hotel CB,331.98,First Class Flight,1130.58,dataset_2
Aracaju (SE),2021-11-25,4.0,33.0,Female,,Hotel Z,832.16,Economy Flight,1265.72,dataset_2
Recife (PE),2021-11-29,4.0,33.0,Female,,Hotel Z,832.16,Economy Flight,1265.72,dataset_2
Brasilia (DF),2021-12-26,3.0,33.0,Female,,Hotel BD,728.64,Economy Flight,1489.17,dataset_2
Natal (RN),2022-01-27,3.0,33.0,Female,,Hotel BD,728.64,First Class Flight,1175.27,dataset_2
Aracaju (SE),2022-01-30,3.0,33.0,Female,,Hotel BD,728.64,First Class Flight,1175.27,dataset_2
Salvador (BH),2022-02-10,4.0,33.0,Female,,Hotel K,1053.64,Economy Flight,1546.0,dataset_2
Brasilia (DF),2022-02-14,4.0,33.0,Female,,Hotel K,1053.64,Economy Flight,1546.0,dataset_2
